New_Cluster_ID,Old_Cluster_ID,Cluster_Size,TF_Name,Family,Subgroup,ROC_AUC,PR_AUC,MCC,GSM_ID
C006,10306,20,ZNF729,C2H2 Zinc Finger,ZNF,0.9341574967169316,0.7599078538394439,0.6932009250930935,GSM3402715
C006,10306,20,ZNF138,C2H2 Zinc Finger,ZNF,0.9753425970292288,0.9677518485073558,0.8311840459179771,GSM5215074
C007,104,16,GLI4,Unknown/Other,Unknown/Other,0.972944930882966,0.959876671231262,0.8260131984788198,GSM5214704
C007,104,16,ZNF205,C2H2 Zinc Finger,ZNF,0.8290169869117239,0.6342272886932206,0.6316642775792317,GSM2466494
C007,104,16,ZNF22,C2H2 Zinc Finger,ZNF,0.9628406462585032,0.9199235809664708,0.8599845444860282,GSM2026767
C007,104,16,ZNF322,C2H2 Zinc Finger,ZNF,0.952441890412723,0.8610824025364975,0.7285283608326448,GSM2026819
C007,104,16,ZNF48,C2H2 Zinc Finger,ZNF,0.9714791796146676,0.9673984267248934,0.831431571493437,GSM2534006
C007,104,16,ZNF572,C2H2 Zinc Finger,ZNF,0.9596583034647552,0.9325658381076224,0.7736241162392382,GSM5215720
C007,104,16,ZNF629,C2H2 Zinc Finger,ZNF,0.9701098018211034,0.9159457886067806,0.8045399513142533,GSM5215117
C007,104,16,ZNF691,C2H2 Zinc Finger,ZNF,0.9697762043592948,0.9455118561969716,0.802773445739133,GSM5214837
C007,104,16,ZNF696,C2H2 Zinc Finger,ZNF,0.860471952480386,0.6882457787996524,0.621749409776856,GSM5214437
C007,104,16,ZNF697,C2H2 Zinc Finger,ZNF,0.9748182474375632,0.9617993818454972,0.8237091002135313,GSM5214050
C007,104,16,ZNF75A,C2H2 Zinc Finger,ZNF,0.952897272704036,0.9295207218172512,0.7800964502528264,GSM2574809
C007,104,16,ZNF75D,C2H2 Zinc Finger,ZNF,0.9876127227899903,0.9643684641019212,0.9005942378154691,GSM2466648
C007,104,16,ZNF768,C2H2 Zinc Finger,ZNF,0.9814116991643452,0.9719219853784152,0.8631504933612222,GSM5215173
C007,104,16,ZNF774,C2H2 Zinc Finger,ZNF,0.8166666666666668,0.6689053828731866,0.4007094794035653,GSM2026816
C007,104,16,ZNF837,C2H2 Zinc Finger,ZNF,0.9449675307155802,0.841632649403398,0.7340891073527671,GSM2423882
C007,104,16,ZSCAN2,Unknown/Other,Unknown/Other,0.8742095754290876,0.7140666549821961,0.5640113234364437,GSM2574782
C008,10307,16,ZNF112,C2H2 Zinc Finger,ZNF,0.9299863704922834,0.7985056225628108,0.729595391449007,GSM2828848
C008,10307,16,ZNF155,C2H2 Zinc Finger,ZNF,0.9503419314082172,0.8587384008775107,0.8031863064866712,GSM2828365
C008,10307,16,ZNF214,C2H2 Zinc Finger,ZNF,0.8908695652173912,0.6750167538607419,0.4702699715629801,GSM2466498
C008,10307,16,ZNF221,C2H2 Zinc Finger,ZNF,0.948552942406188,0.9073441504877532,0.7399739074853108,GSM6372563
C008,10307,16,ZNF222,C2H2 Zinc Finger,ZNF,0.8786921456824369,0.6514661116591576,0.4939157853570424,GSM2466499
C008,10307,16,ZNF223,C2H2 Zinc Finger,ZNF,0.9184059922571958,0.7672342214094952,0.7286610163563536,GSM2466500
C008,10307,16,ZNF224,C2H2 Zinc Finger,ZNF,0.96328033126294,0.9417553217639822,0.7618675127066683,GSM5214928
C008,10307,16,ZNF225,C2H2 Zinc Finger,ZNF,0.977116259653517,0.9703338175933612,0.853655567661767,GSM5330617
C008,10307,16,ZNF227,C2H2 Zinc Finger,ZNF,0.958359721342622,0.8618212527530331,0.7559840175541652,GSM5331230
C008,10307,16,ZNF230,C2H2 Zinc Finger,ZNF,0.9592955465587044,0.9329604256172388,0.764548696603119,GSM5214470
C008,10307,16,ZNF234,C2H2 Zinc Finger,ZNF,0.974757589219606,0.9623015011079528,0.8366243180748987,GSM5214412
C008,10307,16,ZNF235,C2H2 Zinc Finger,ZNF,0.8588235294117648,0.6384771054393849,0.5870451715402795,GSM2466503
C008,10307,16,ZNF239,C2H2 Zinc Finger,ZNF,0.8988266631092139,0.6934977786544843,0.5882366236279486,GSM5215600
C008,10307,16,ZNF284,C2H2 Zinc Finger,ZNF,0.9954193453258626,0.98394205953938,0.921109857474188,GSM2466518
C008,10307,16,ZNF285,C2H2 Zinc Finger,ZNF,0.9535353535353536,0.8716384863123996,0.795099935886035,GSM2466519
C008,10307,16,ZNF45,C2H2 Zinc Finger,ZNF,0.905187074829932,0.7006494452847122,0.6177292747385457,GSM2466565
C009,10308,15,ZNF20,C2H2 Zinc Finger,ZNF,0.9609450506730306,0.9383314247577552,0.7771726570680219,GSM5213968
C009,10308,15,ZNF433,C2H2 Zinc Finger,ZNF,0.9021712533237632,0.7086064744632226,0.6237315026974122,GSM2466556
C009,10308,15,ZNF439,C2H2 Zinc Finger,ZNF,0.9057629575933308,0.7095045460203006,0.5236176332773197,GSM2466557
C009,10308,15,ZNF44,C2H2 Zinc Finger,ZNF,0.9618446674098848,0.9281884614915692,0.7756605847513256,GSM5215095
C009,10308,15,ZNF440,C2H2 Zinc Finger,ZNF,0.9491209833846592,0.8684914605243459,0.7633423058419502,GSM2466558
C009,10308,15,ZNF441,C2H2 Zinc Finger,ZNF,0.9685825929110538,0.933784852934478,0.8032868194589181,GSM5215741
C009,10308,15,ZNF442,C2H2 Zinc Finger,ZNF,0.8704351204351205,0.7969200839481386,0.7543000363927836,GSM2466560
C009,10308,15,ZNF443,C2H2 Zinc Finger,ZNF,0.9600908500973394,0.8771005111785358,0.8068337958999264,GSM2466561
C009,10308,15,ZNF491,C2H2 Zinc Finger,ZNF,0.8964133738601824,0.760327494523022,0.6689363869011413,GSM2828996
C009,10308,15,ZNF563,C2H2 Zinc Finger,ZNF,0.92213729308666,0.7808707998826058,0.6303004914630355,GSM2026838
C009,10308,15,ZNF69,C2H2 Zinc Finger,ZNF,0.905813953488372,0.7150489469381214,0.6503466919052723,GSM2466636
C009,10308,15,ZNF700,C2H2 Zinc Finger,ZNF,0.8173858934433618,0.4271839878747977,0.3342785228461387,GSM5215466
C009,10308,15,ZNF763,C2H2 Zinc Finger,ZNF,0.9280968468468468,0.7609697112632491,0.698963035992171,GSM3402716
C009,10308,15,ZNF799,C2H2 Zinc Finger,ZNF,0.8318977549148623,0.5029756070206173,0.4019426290718607,GSM2466668
C009,10308,15,ZNF823,C2H2 Zinc Finger,ZNF,0.941426870188488,0.8147470610953252,0.722892899152688,GSM2466675
C010,10309,12,ZNF28,C2H2 Zinc Finger,ZNF,0.9686438744800938,0.9063439759917056,0.8012065652769061,GSM2466521
C010,10309,12,ZNF320,C2H2 Zinc Finger,ZNF,0.9620968787793792,0.883598851805434,0.7746704883910408,GSM2466529
C010,10309,12,ZNF468,C2H2 Zinc Finger,ZNF,0.9875412360300098,0.9668946202609474,0.8929549558970228,GSM2466567
C010,10309,12,ZNF525,C2H2 Zinc Finger,ZNF,0.9101933988651802,0.8357460031126114,0.8170737764147443,GSM2466579
C010,10309,12,ZNF578,C2H2 Zinc Finger,ZNF,0.8806455358179496,0.7154743108197892,0.6736774001351402,GSM3402713
C010,10309,12,ZNF611,C2H2 Zinc Finger,ZNF,0.9700514782925608,0.9266546243611358,0.8246072349471093,GSM2466611
C010,10309,12,ZNF701,C2H2 Zinc Finger,ZNF,0.9142450156860809,0.7850937059031537,0.6293650591517481,GSM2938898
C010,10309,12,ZNF761,C2H2 Zinc Finger,ZNF,0.9576506761695904,0.9122056360178344,0.7651146384927296,GSM5215642
C010,10309,12,ZNF765,C2H2 Zinc Finger,ZNF,0.9613758645572664,0.9095799317140554,0.8103449369753691,GSM2466651
C010,10309,12,ZNF808,C2H2 Zinc Finger,ZNF,0.9233278900990788,0.8076381834947226,0.6805393030844682,GSM2466672
C010,10309,12,ZNF816,C2H2 Zinc Finger,ZNF,0.9580727448357852,0.8956345887496616,0.7629642700751977,GSM6372196
C010,10309,12,ZNF860,C2H2 Zinc Finger,ZNF,0.909375,0.8542313519108404,0.7291762635597034,GSM2466679
C011,64,11,KLF1,C2H2 Zinc Finger,KLF,0.9756326860841424,0.9478815764873568,0.8134089137222252,GSM1067275
C011,64,11,KLF10,C2H2 Zinc Finger,KLF,0.9623221561911982,0.9157133342496088,0.7837459466981924,GSM2574747
C011,64,11,KLF11,C2H2 Zinc Finger,KLF,0.9622905982905984,0.933649045849534,0.7999996412036001,GSM1443813
C011,64,11,KLF12,C2H2 Zinc Finger,KLF,0.9661880472021316,0.9446042035271132,0.8104490119380122,GSM5215153
C011,64,11,KLF3,C2H2 Zinc Finger,KLF,0.9768297145978424,0.9646846734297444,0.8577776023850536,GSM4192052
C011,64,11,KLF5,C2H2 Zinc Finger,KLF,0.9579488494411572,0.8969321282332937,0.7790795399819077,GSM4447200
C011,64,11,KLF7,C2H2 Zinc Finger,KLF,0.9454369869628196,0.929757559547449,0.697261113047375,GSM2026749
C011,64,11,KLF9,C2H2 Zinc Finger,KLF,0.9922281766093696,0.9885539960376136,0.9208361138841804,GSM1522563
C011,64,11,Klf16,C2H2 Zinc Finger,KLF,0.9459144313899356,0.8686720059843365,0.7383206018119709,GSM2527382
C011,64,11,Klf4,C2H2 Zinc Finger,KLF,0.9639424987940184,0.92164087741434,0.7876901023935878,GSM3597672
C011,64,11,Klf6,C2H2 Zinc Finger,KLF,0.9630641810918776,0.9162491853656636,0.7910715977238287,GSM2534396
C012,10310,10,ZNF124,C2H2 Zinc Finger,ZNF,0.9476272335181762,0.8796837544621097,0.751335852471188,GSM5215048
C012,10310,10,ZNF136,C2H2 Zinc Finger,ZNF,0.8674495717048909,0.3965752750628258,0.2857525427657099,GSM2026789
C012,10310,10,ZNF490,C2H2 Zinc Finger,ZNF,0.9877847580548303,0.952020129589262,0.8759560142081035,GSM2026888
C012,10310,10,ZNF564,C2H2 Zinc Finger,ZNF,0.9490489130434784,0.8580672726618431,0.7849860735165795,GSM2466598
C012,10310,10,ZNF627,C2H2 Zinc Finger,ZNF,0.935047305635541,0.8525855744220847,0.8076422393288307,GSM2466620
