New_Cluster_ID,Old_Cluster_ID,Cluster_Size,TF_Name,Single_ROC_AUC,MTL_ROC_AUC,Delta_ROC_AUC,Single_PR_AUC,MTL_PR_AUC,Delta_PR_AUC,Single_MCC,MTL_MCC,Delta_MCC,Single_F1,MTL_F1,Delta_F1,Single_Accuracy,MTL_Accuracy,Delta_Accuracy,Single_Precision,MTL_Precision,Delta_Precision,Single_Recall,MTL_Recall,Delta_Recall
C44,44,2,Bcl11a,0.9517007777777776,0.9509041111111112,-0.0007966666666665,0.9528052176821288,0.9528087145515616,3.49686943290628e-06,0.763807869176803,0.7459373495960598,-0.0178705195807431,0.885408342656225,0.8621545003543586,-0.0232538423018664,0.8805,0.8703333333333333,-0.0101666666666666,0.8504758980657047,0.920196671709531,0.0697207736438263,0.9233333333333332,0.811,-0.1123333333333332
C44,44,2,ZNF296,0.9702377777777778,0.9665846666666668,-0.0036531111111109,0.9653403794440484,0.9634278927703944,-0.0019124866736538,0.8088614735908903,0.7914578008081767,-0.0174036727827135,0.9011478499229056,0.8917153661051908,-0.0094324838177148,0.9038333333333334,0.895,-0.0088333333333333,0.927035600986958,0.9205110007097232,-0.0065246002772347,0.8766666666666667,0.8646666666666667,-0.012
C440,440,2,EBF1,0.9716647222222224,0.9738295555555556,0.0021648333333332,0.9729161509499316,0.974304078705352,0.0013879277554204,0.8381790169026783,0.8479460166779126,0.0097669997752343,0.9198284394589245,0.9247984202731612,0.0049699808142367,0.919,0.9238333333333332,0.0048333333333331,0.9105160026126714,0.913227169320767,0.0027111667080955,0.9293333333333332,0.9366666666666666,0.0073333333333333
C440,440,2,EBF3,0.9439465555555556,0.9479266666666666,0.003980111111111,0.9433103164205958,0.9492924076265276,0.0059820912059317,0.7454330344677789,0.7575515396029678,0.0121185051351889,0.8693724420190996,0.8801054018445322,0.0107329598254326,0.8723333333333333,0.8786666666666667,0.0063333333333334,0.890013966480447,0.8697916666666666,-0.0202222998137803,0.8496666666666667,0.8906666666666667,0.041
C45,45,4,SALL2,0.9405524425287356,0.9489642401021712,0.0084117975734355,0.9347983956275528,0.9426381594310128,0.00783976380346,0.7626563148032024,0.7876746716773498,0.0250183568741474,0.8522179974651457,0.8699775393062141,0.0177595418410684,0.8854166666666666,0.8976022012578616,0.0121855345911949,0.905223478729133,0.9082855653986452,0.0030620866695122,0.8050766283524904,0.8347701149425287,0.0296934865900383
C45,45,4,Sall1,0.9578515844858436,0.9637519286288324,0.0059003441429889,0.9318285398320496,0.9364629029034266,0.0046343630713769,0.8303401889969536,0.8454585132146434,0.0151183242176897,0.8659562535053281,0.8801313628899836,0.0141751093846554,0.93953959018467,0.9445990387047812,0.0050594485201113,0.9290012033694344,0.9188571428571428,-0.0101440605122915,0.8109243697478992,0.8445378151260504,0.0336134453781512
C45,45,4,Sall3,0.9615501424402538,0.960151771625688,-0.0013983708145658,0.9350266659359504,0.9359345080729924,0.0009078421370418,0.8108482882627296,0.7976876257444614,-0.0131606625182681,0.8690425075139545,0.8661037394451147,-0.0029387680688398,0.9168937329700272,0.9092643051771118,-0.0076294277929155,0.9174977334542158,0.8540840602696272,-0.0634136731845885,0.8254486133768353,0.8784665579119086,0.0530179445350733
C45,45,4,Sall4,0.9720699160885764,0.974873649815336,0.0028037337267594,0.9660714287904638,0.9682332916886098,0.002161862898146,0.8914427060325066,0.8939434397186046,0.0025007336860979,0.9287054409005628,0.9307238272755514,0.0020183863749885,0.9507453013609852,0.9518254482609636,0.0010801468999784,0.945859872611465,0.9415461973601508,-0.0043136752513142,0.9121621621621622,0.92014742014742,0.0079852579852578
C5,5,2,SP140,0.9729148393085044,0.9707474184940248,-0.0021674208144797,0.9650406700323356,0.9593102483473904,-0.005730421684945,0.8674640800939446,0.8589277889258974,-0.0085362911680472,0.9353283458021612,0.9318666885568871,-0.0034616572452741,0.9337646858505024,0.9293376468585052,-0.0044270389919971,0.9330016583747928,0.9181494661921707,-0.0148521921826219,0.9376666666666666,0.946,0.0083333333333333
C5,5,2,SP140L,0.9630511111111112,0.9611645555555556,-0.0018865555555555,0.960308547921038,0.9589092576021772,-0.0013992903188607,0.7983333776851889,0.7845644964535895,-0.0137688812315993,0.8991834694217631,0.8885459533607681,-0.0106375160609949,0.8991666666666667,0.8916666666666667,-0.0074999999999999,0.8990336554481839,0.9149011299435028,0.0158674744953188,0.8993333333333333,0.8636666666666667,-0.0356666666666666
C50,50,2,Glis1,0.9726385,0.975576,0.0029375,0.9686918776887212,0.9725174464402772,0.0038255687515559,0.835120683658813,0.8425813904228938,0.0074607067640808,0.918195339613287,0.9229779707348448,0.0047826311215577,0.9175,0.9201666666666668,0.0026666666666668,0.9105211406096362,0.8915812364088226,-0.0189399042008135,0.926,0.9566666666666668,0.0306666666666667
C50,50,2,Glis3,0.9795111111111112,0.981821722222222,0.0023106111111107,0.9768338283051198,0.9802546716661904,0.0034208433610706,0.86612030284145,0.8692285793546055,0.0031082765131554,0.932436974789916,0.935785737334624,0.003348762544708,0.933,0.9336666666666666,0.0006666666666665,0.9403389830508476,0.906816760475297,-0.0335222225755504,0.9246666666666666,0.9666666666666668,0.0420000000000001
C53,53,2,ZEB1,0.9497163333333334,0.9520417777777778,0.0023254444444443,0.9438296768516196,0.9474845687971714,0.0036548919455516,0.7514642665144947,0.7616319515990165,0.0101676850845218,0.8744952893674294,0.8789722785665991,0.0044769891991697,0.8756666666666667,0.8806666666666667,0.005,0.8828125,0.8916323731138546,0.0088198731138545,0.8663333333333333,0.8666666666666667,0.0003333333333334
C53,53,2,ZEB2,0.9344218483545011,0.934103693145664,-0.0003181552088371,0.8520944286049796,0.8731872142517735,0.0210927856467938,0.7580044669617587,0.7603514653392535,0.0023469983774947,0.7870619946091644,0.7780979827089337,-0.0089640119002306,0.9422936449963476,0.943754565376187,0.0014609203798392,0.863905325443787,0.9310344827586208,0.0671291573148338,0.7227722772277227,0.6683168316831684,-0.0544554455445543
C59,59,3,ZFX,0.9459266666666668,0.9478215,0.0018948333333332,0.9452041887726284,0.9463662695459624,0.0011620807733339,0.7447354177305783,0.7578374942743407,0.0131020765437623,0.8754851228978008,0.8812896922325354,0.0058045693347346,0.8716666666666667,0.8785,0.0068333333333332,0.8501884422110553,0.8615090735434575,0.0113206313324022,0.9023333333333332,0.902,-0.0003333333333332
C59,59,3,ZFY,0.9828947777777778,0.9818607777777778,-0.0010339999999999,0.9805358802641728,0.9766314775070336,-0.0039044027571393,0.8694584275520431,0.8704093821068195,0.0009509545547764,0.9357049608355092,0.9359816152330924,0.0002766543975832,0.9343333333333332,0.935,0.0006666666666667,0.9165601023017904,0.9220569210866753,0.0054968187848849,0.9556666666666668,0.9503333333333334,-0.0053333333333333
C59,59,3,ZNF711,0.9456136533323242,0.9490968393516448,0.0034831860193206,0.9192929462699208,0.9196707375062152,0.0003777912362944,0.7898130864398053,0.7995947749811353,0.0097816885413299,0.8536585365853658,0.8564570331253001,0.0027984965399342,0.9074458617620884,0.911302284188668,0.0038564224265795,0.9118236472945892,0.939936775553214,0.0281131282586247,0.8024691358024691,0.7865961199294532,-0.0158730158730159
C62,62,4,SP2,0.9919668982427462,0.9938772646778368,0.0019103664350905,0.9926645642451104,0.9942281765685604,0.0015636123234499,0.9201543278279062,0.9303065050765322,0.010152177248626,0.9637096774193548,0.9689564068692206,0.0052467294498657,0.9603451441160272,0.9654855883972828,0.0051404442812557,0.9715447154471544,0.9600785340314136,-0.0114661814157408,0.956,0.978,0.022
C62,62,4,SP4,0.9943836919239164,0.9969444964140942,0.0025608044901777,0.994917579675436,0.9977067715203878,0.0027891918449516,0.9305412046438242,0.9560546700706624,0.0255134654268381,0.9713914174252276,0.9818541735400858,0.0104627561148581,0.9657454262358894,0.9785908913974308,0.0128454651615413,0.9479695431472082,0.9719137818419332,0.023944238694725,0.996,0.992,-0.004
C62,62,4,SP5,0.9729691666666668,0.9788172222222222,0.0058480555555555,0.9712445062764802,0.9782475789460552,0.007003072669575,0.8344146838625441,0.8570004285003214,0.0225857446377772,0.9185572058103476,0.928535732133933,0.0099785263235854,0.9168333333333332,0.9285,0.0116666666666667,0.8999040614007036,0.928071928071928,0.0281678666712243,0.938,0.929,-0.0089999999999998
C62,62,4,Sp1,0.956007777777778,0.961839,0.005831222222222,0.9543138774655798,0.9637325750385992,0.0094186975730193,0.7679627599887291,0.7964787391023067,0.0285159791135776,0.8695652173913043,0.8962008141112618,0.0266355967199575,0.8795,0.898,0.0185,0.9476995674400316,0.912292817679558,-0.0354067497604734,0.8033333333333333,0.8806666666666667,0.0773333333333333
C63,63,3,EGR1,0.9818607777777776,0.9842437777777776,0.0023829999999999,0.9800827373033376,0.9840370425831384,0.0039543052798007,0.8654264197589534,0.8760522631926643,0.0106258434337108,0.9321692411014104,0.938741993759238,0.0065727526578276,0.9326666666666666,0.9378333333333332,0.0051666666666665,0.939106901217862,0.9252185173195208,-0.0138883838983412,0.9253333333333332,0.9526666666666668,0.0273333333333334
C63,63,3,EGR3,0.9920887777777776,0.9935347222222224,0.0014459444444446,0.9898366928100928,0.9914782711912092,0.0016415783811164,0.92666852000556,0.9386084154437218,0.0119398954381616,0.9633699633699634,0.9695481335952848,0.0061781702253214,0.9633333333333334,0.969,0.0056666666666665,0.962408516300732,0.9527027027027029,-0.009705813598029,0.9643333333333334,0.987,0.0226666666666666
C63,63,3,Egr2,0.9916694444444444,0.9941376666666666,0.0024682222222222,0.9907788071172384,0.9934049031282608,0.0026260960110222,0.9256691865473266,0.9374505532622822,0.0117813667149556,0.962876643915432,0.9689807976366324,0.0061041537212003,0.9628333333333332,0.9685,0.0056666666666667,0.9617559028932492,0.9544131910766246,-0.0073427118166244,0.964,0.984,0.02
C64,64,11,KLF1,0.9778965,0.9843174444444444,0.0064209444444442,0.9727468503748812,0.981575628066898,0.0088287776920169,0.8429315118278162,0.8760523328680236,0.0331208210402074,0.9196534737557328,0.9389946315275745,0.0193411577718415,0.9211666666666668,0.9375,0.0163333333333333,0.9376515413924488,0.9170638703527167,-0.0205876710397321,0.9023333333333332,0.962,0.0596666666666666
C64,64,11,KLF10,0.9726802628155088,0.9849837366640646,0.0123034738485557,0.9657208332667656,0.9823413313201552,0.0166204980533897,0.8140157930264353,0.8861291376620082,0.0721133446355728,0.893756397134084,0.9391136801541424,0.0453572830200584,0.906688241639698,0.9431859043509528,0.0364976627112548,0.9397331037451572,0.9273211567732116,-0.0124119469719455,0.8520686963309914,0.9512099921935988,0.0991412958626074
C64,64,11,KLF11,0.973434777777778,0.980774,0.0073392222222221,0.9741924503441464,0.9811652929683132,0.0069728426241668,0.8266674014824612,0.8589005103053007,0.0322331088228394,0.9132755170113408,0.9284991568296797,0.0152236398183387,0.9133333333333332,0.9293333333333332,0.0159999999999999,0.9138851802403204,0.9395904436860067,0.0257052634456863,0.9126666666666666,0.9176666666666666,0.005
C64,64,11,KLF12,0.9749111111111112,0.986864277777778,0.0119531666666669,0.9710739179762412,0.9860041243010116,0.0149302063247702,0.8392858383569041,0.8907238727701728,0.0514380344132687,0.9211806681803438,0.945641365594962,0.0244606974146182,0.919,0.9453333333333334,0.0263333333333333,0.8970309538850284,0.9403427818061963,0.0433118279211679,0.9466666666666668,0.951,0.0043333333333333
C64,64,11,KLF3,0.9805765555555556,0.9839618333333334,0.0033852777777778,0.9814589272238836,0.9843317427006032,0.0028728154767194,0.8651398603179412,0.8837413459657344,0.0186014856477931,0.929785407725322,0.941452776379802,0.01166736865448,0.9318333333333332,0.9418333333333332,0.0099999999999998,0.95858407079646,0.9476528199932456,-0.0109312508032145,0.9026666666666666,0.9353333333333332,0.0326666666666666
C64,64,11,KLF5,0.9639054444444444,0.9699535,0.0060480555555555,0.9647599441490168,0.9721739585600714,0.0074140144110546,0.7769731097422166,0.8169152282475025,0.0399421185052859,0.8919562113279391,0.9071886601417484,0.0152324488138092,0.8865,0.9083333333333332,0.0218333333333332,0.8510445049954587,0.9186602870813396,0.0676157820858809,0.937,0.896,-0.041
C64,64,11,KLF7,0.9629464285714284,0.972470238095238,0.0095238095238094,0.8813603704362438,0.9210424772780044,0.0396821068417605,0.7499259648092437,0.8144562288345466,0.0645302640253029,0.7787610619469026,0.8461538461538461,0.0673927842069435,0.934036939313984,0.9472295514511874,0.0131926121372032,0.8979591836734694,0.8333333333333334,-0.064625850340136,0.6875,0.859375,0.171875
C64,64,11,KLF9,0.9903306666666666,0.9930904444444444,0.0027597777777778,0.9895997661645112,0.9928417909838816,0.0032420248193705,0.8989301018660524,0.9240462034652888,0.0251161015992363,0.9474405067625408,0.9621890547263682,0.0147485479638275,0.9488333333333332,0.962,0.0131666666666666,0.9739528335093276,0.9574257425742574,-0.0165270909350703,0.9223333333333332,0.967,0.0446666666666666
C64,64,11,Klf16,0.9612326666666668,0.9775291111111112,0.0162964444444444,0.9618685949950708,0.9780157179843342,0.0161471229892634,0.7874642595400195,0.8604136901642353,0.0729494306242157,0.8916398168560284,0.9306406224135076,0.0390008055574792,0.8935,0.9301666666666668,0.0366666666666668,0.9074905074214704,0.9243669845445576,0.016876477123087,0.8763333333333333,0.937,0.0606666666666667
C64,64,11,Klf4,0.9637262222222222,0.9693628888888888,0.0056366666666666,0.9610691638743046,0.9675726563699528,0.0065034924956481,0.803934543871104,0.825667813428315,0.021733269557211,0.8997280761386812,0.9127606338615512,0.0130325577228699,0.9016666666666666,0.9128333333333334,0.0111666666666667,0.9178224687933426,0.9135225375626044,-0.0042999312307382,0.8823333333333333,0.912,0.0296666666666667
C64,64,11,Klf6,0.9680132222222222,0.9847342222222224,0.0167210000000002,0.9659341323794272,0.9818140665590184,0.0158799341795912,0.7461713952713619,0.8851086291638943,0.1389372338925324,0.8479641389615241,0.9429469158260294,0.0949827768645052,0.8643333333333333,0.9425,0.0781666666666667,0.9643160577740016,0.9356744338693798,-0.0286416239046218,0.7566666666666667,0.9503333333333334,0.1936666666666666
C67,67,2,Zbtb7a,0.9658748888888892,0.9659986111111112,0.0001237222222221,0.9636615132134692,0.9635249742337632,-0.0001365389797061,0.798788624415655,0.8107063891445314,0.0119177647288764,0.8910437235543018,0.9065834838285995,0.0155397602742977,0.897,0.9051666666666668,0.0081666666666667,0.9457335329341318,0.8932384341637011,-0.0524950987704306,0.8423333333333334,0.9203333333333332,0.0779999999999998
C67,67,2,Zbtb7b,0.9616136666666668,0.9641260555555556,0.0025123888888888,0.9532746619878026,0.9583460961747892,0.0050714341869865,0.7998049771202221,0.798193186129394,-0.001611790990828,0.901948051948052,0.9000989119683481,-0.0018491399797038,0.8993333333333333,0.899,-0.0003333333333332,0.8791139240506329,0.8904109589041096,0.0112970348534766,0.926,0.91,-0.016
C68,68,2,ZIC5,0.99061187664042,0.9912239173228348,0.0006120406824148,0.9915202222376984,0.9919188427006153,0.0003986204629168,0.9297418389406924,0.9330527477694132,0.0033109088287207,0.9718636213174444,0.9731788079470198,0.0013151866295753,0.9662162162162162,0.9678060413354532,0.0015898251192369,0.965154503616042,0.9667763157894737,0.0016218121734316,0.9786666666666668,0.9796666666666668,0.0010000000000001
C68,68,2,Zic2,0.9626034444444443,0.9630372777777776,0.0004338333333332,0.9569569080308984,0.9582760305170192,0.0013191224861208,0.8102263955874447,0.8041503008023042,-0.0060760947851404,0.9070559610705596,0.9029382634532848,-0.0041176976172748,0.9045,0.902,-0.0024999999999999,0.8834123222748815,0.894375408763898,0.0109630864890164,0.932,0.9116666666666666,-0.0203333333333334
C7,7,2,IRF6,0.9528203333333336,0.95349,0.0006696666666664,0.9540490273838694,0.955559429540756,0.0015104021568865,0.7706427228648212,0.7824348068170273,0.0117920839522061,0.8867707477403451,0.8891525423728813,0.0023817946325361,0.8851666666666667,0.891,0.0058333333333333,0.8745542949756888,0.9044827586206896,0.0299284636450007,0.8993333333333333,0.8743333333333333,-0.025
C7,7,2,Irf5,0.9766642222222224,0.9774452222222222,0.0007809999999999,0.9748087746863188,0.9750082846142178,0.000199509927899,0.8436835873794034,0.85003192402062,0.0063483366412165,0.9220800797474664,0.9246735855373284,0.002593505789862,0.9218333333333332,0.925,0.0031666666666667,0.9191785359390526,0.9287155346334902,0.0095369986944375,0.925,0.9206666666666666,-0.0043333333333334
C73,73,2,ZNF148,0.9457757889778614,0.9483700737949442,0.0025942848170827,0.9381279061529892,0.9415244292797424,0.0033965231267532,0.7809262235929789,0.7847003360421639,0.003774112449185,0.8650793650793651,0.866,0.0009206349206348,0.8938122194026937,0.8953738044114776,0.0015615850087838,0.9135673127291776,0.9227490676611614,0.0091817549319838,0.8214790390956194,0.8158266603862458,-0.0056523787093735
C73,73,2,ZNF281,0.9661698333333332,0.9665904444444444,0.0004206111111111,0.960311796950522,0.9622998912256062,0.0019880942750841,0.8036113790190826,0.7986202248970076,-0.004991154122075,0.8995410504844467,0.895162678602169,-0.0043783718822776,0.9015,0.8985,-0.003,0.9177939646201873,0.9255962976148095,0.0078023329946222,0.882,0.8666666666666667,-0.0153333333333333
C79,79,2,GFI1B,0.902876358695652,0.9038900966183576,0.0010137379227055,0.880803236740877,0.8818769192479967,0.0010736825071196,0.6363246911560523,0.6499576856244016,0.0136329944683493,0.7709108960039712,0.7907306691889335,0.0198197731849623,0.8227726574500768,0.8300691244239631,0.0072964669738863,0.8528281164195497,0.8273132112815438,-0.0255149051380059,0.7033514492753623,0.7572463768115942,0.0538949275362319
