TF_Name,GSM_ID,Cluster_ID,Cluster_Type,TF_Count_in_Cluster,Single_Test_ROC_AUC,MTL_Test_ROC_AUC,Delta_ROC_AUC,Single_F1
ZNF189,GSM3634423,242,Single,1,0.9363841666666667,0.9371635555555556,0.0007793888888889544,0.8615232443125618
ZNF18,GSM2424220,147,Single,1,0.9229301111111111,0.9195443333333332,-0.003385777777777932,0.8504301786896096
ZNF195,GSM3402704,167,Single,1,0.9464215686274509,0.945,-0.0014215686274509087,0.7883211678832117
ZNF197,GSM2466491,307,Single,1,0.9302248062015505,0.9157364341085272,-0.014488372093023227,0.6927710843373494
ZNF19,GSM2828504,235,Single,1,0.9161604099520021,0.9078025366939504,-0.008357873258051707,0.7323162274618585
ZNF202,GSM2466493,325,Single,1,0.9931660620482372,0.993050193050193,-0.00011586899804416628,0.986702640200424
ZNF205,GSM2466494,341,Single,1,0.8700513613017591,0.8654606608790509,-0.004590700422708149,0.62
ZNF207,GSM2423041,508,Single,1,0.9291992222222222,0.9286723333333334,-0.0005268888888887435,0.8324654336505656
ZNF20,GSM5213968,183,MTL,8,0.9653711074258338,0.9658615257048092,0.0004904182789754463,0.8727588201272412
ZNF211,GSM2466495,212,Single,1,0.8988079979492437,0.9254518072289156,0.026643809279671915,0.73224043715847
ZNF212,GSM5213832,355,MTL,2,0.9230026490066225,0.9160348785871965,-0.006967770419426089,0.7473460721868365
ZNF213,GSM3402721,146,Single,1,0.9452792644435296,0.9414196514340608,-0.0038596130094687986,0.7022900763358778
ZNF214,GSM2466498,149,Single,1,0.851037851037851,0.851037851037851,0.0,0.6388888888888888
ZNF215,GSM5215784,346,Single,1,0.8658810763888889,0.8665572916666666,0.0006762152777777253,0.5995753715498938
ZNF217,GSM5214302,72,Single,1,0.9500581111111113,0.9516075,0.0015493888888887808,0.86722571628232
ZNF219,GSM2797674,107,Single,1,0.9426208888888888,0.9404594444444444,-0.002161444444444438,0.8446115288220551
ZNF221,GSM6372563,151,MTL,9,0.9610914444444445,0.971565111111111,0.010473666666666492,0.892125317527519
ZNF222,GSM2466499,151,MTL,9,0.9262947739283616,0.9374366091923344,0.011141835263972832,0.705685618729097
ZNF223,GSM2466500,151,MTL,9,0.8801126584259114,0.9344807802639128,0.05436812183800144,0.7472527472527473
ZNF224,GSM5214928,151,MTL,9,0.9649957222222223,0.9742030555555554,0.009207333333333123,0.8994521430873348
ZNF225,GSM5330617,151,MTL,9,0.9794034444444445,0.9809594444444444,0.0015559999999998908,0.9252620899560365
ZNF227,GSM5331230,154,Single,1,0.9427377777777779,0.9416422222222222,-0.0010955555555557384,0.7882454624027658
ZNF22,GSM2026767,337,Single,1,0.9619457222222223,0.9618874444444444,-5.8277777777893114e-05,0.9301521438450899
ZNF230,GSM5214470,151,MTL,9,0.9678843333333335,0.9796734444444444,0.011789111111110917,0.9007710358699296
ZNF232,GSM5214562,312,Single,1,0.964635888888889,0.96619,0.001554111111111034,0.9016003802883854
ZNF234,GSM5214412,151,MTL,9,0.9737803333333331,0.9811741111111112,0.0073937777777780544,0.8969418419657063
ZNF235,GSM2466503,152,MTL,2,0.8651222072274705,0.9520167941220572,0.08689458689458673,0.7105263157894737
ZNF239,GSM5215600,150,Single,1,0.9065305555555556,0.9076977222222224,0.0011671666666668301,0.778620166793025
ZNF23,GSM5215019,236,Single,1,0.8857054083645219,0.8821789133351946,-0.0035264950293273367,0.6172161172161172
ZNF248,GSM2466504,291,Single,1,0.9892814191220686,0.9887919422730006,-0.0004894768490679713,0.9586776859504132
ZNF24,GSM2827518,322,Single,1,0.9118335,0.9102576666666669,-0.0015758333333331098,0.8194079523559292
ZNF250,GSM2026762,246,Single,1,0.9700241064877895,0.9689847325577332,-0.0010393739300562643,0.9216300940438872
ZNF251,GSM3402706,221,Single,1,0.9719039444444444,0.9693449444444444,-0.002558999999999978,0.9154710458081244
ZNF253,GSM5214373,165,MTL,30,0.9081833989850598,0.9234595502561008,0.015276151271040983,0.6391382405745063
ZNF254,GSM2466505,165,MTL,30,0.9629929548951333,0.9714619267417064,0.008468971846573137,0.8780487804878049
ZNF256,GSM5215271,211,Single,1,0.9607321111111109,0.9614873888888888,0.0007552777777779518,0.8911690496215307
ZNF257,GSM2466506,165,MTL,30,0.9811113333333333,0.9805104444444444,-0.0006008888888889841,0.9320104098893949
ZNF25,GSM5215289,240,Single,1,0.9539402222222223,0.9538875555555556,-5.2666666666700834e-05,0.889793260621846
ZNF260,GSM2026812,239,MTL,3,0.982931700517722,0.9834687375547588,0.0005370370370367805,0.8876543209876543
ZNF263,GSM5214687,303,Single,1,0.9750384444444444,0.9746819444444446,-0.0003564999999998708,0.9193391642371235
ZNF266,GSM2827472,174,MTL,2,0.9687752791718137,0.970908687003322,0.0021334078315082827,0.8444040036396724
ZNF267,GSM2466511,161,Single,1,0.974493257958177,0.9707829571452806,-0.003710300812896361,0.8532934131736527
ZNF26,GSM2825194,289,Single,1,0.9238166884145356,0.9053577251232297,-0.01845896329130592,0.7361563517915309
