TF_Name,GSM_ID,Cluster_ID,Cluster_Type,TF_Count_in_Cluster,Single_ROC_AUC,MTL_ROC_AUC,Delta_ROC_AUC,Single_PR_AUC,MTL_PR_AUC,Delta_PR_AUC,Single_Accuracy,MTL_Accuracy,Delta_Accuracy,Single_Precision,MTL_Precision,Delta_Precision,Single_Recall,MTL_Recall,Delta_Recall,Single_F1,MTL_F1,Delta_F1,Single_MCC,MTL_MCC,Delta_MCC
ZNF592,GSM2825585,332,MTL,3,0.8865217777777779,0.8888264444444445,0.0023046666666666216,0.8865775599063086,0.8929275377419825,0.006349977835673926,0.8001666666666667,0.8081666666666667,0.008000000000000007,0.7894567663130826,0.8016313213703099,0.01217455505722731,0.8186666666666667,0.819,0.0003333333333332966,0.8037964326624121,0.8102225886232481,0.006426155960836066,0.6007446839024134,0.6164780514177823,0.015733367515368912
ZNF595,GSM2026826,10319,MTL,6,0.8986402296982502,0.9115878433284575,0.012947613630207355,0.7513119035268494,0.7918836772186678,0.040571773691818414,0.9060092449922958,0.9568567026194144,0.05084745762711851,0.5111111111111111,0.8723404255319149,0.36122931442080386,0.7301587301587301,0.6507936507936508,-0.0793650793650793,0.6013071895424836,0.7454545454545455,0.14414735591206185,0.5611537800606601,0.7316917518458274,0.17053797178516727
ZNF596,GSM2026841,10335,MTL,2,0.9120898814447201,0.9188861317893576,0.006796250344637489,0.835599910551869,0.8448087866792018,0.009208876127332788,0.9200581395348837,0.876453488372093,-0.043604651162790664,0.9120879120879121,0.643312101910828,-0.2687758101770841,0.6384615384615384,0.7769230769230769,0.13846153846153852,0.751131221719457,0.7038327526132404,-0.0472984691062166,0.721194206293992,0.6311040888323147,-0.09009011746167728
ZNF605,GSM6372180,10304,MTL,20,0.9671978888888888,0.9760773888888888,0.00887950000000004,0.9627298283732313,0.9738695063372368,0.011139677964005501,0.9021666666666667,0.9235,0.021333333333333315,0.9196521739130434,0.9290780141843972,0.009425840271353736,0.8813333333333333,0.917,0.035666666666666735,0.9000851063829787,0.9229994967287368,0.02291439034575815,0.8050324497915542,0.8470715805729654,0.042039130781411194
ZNF607,GSM5214323,10302,MTL,21,0.9720717222222222,0.9830597777777778,0.010988055555555598,0.9710083895126123,0.9815363732126248,0.010527983700012511,0.9046666666666666,0.9351666666666668,0.030500000000000194,0.9295824486907289,0.9259380097879282,-0.0036444389028007507,0.8756666666666667,0.946,0.07033333333333325,0.9018194301407484,0.9358615004122012,0.034042070271452785,0.8106980762131696,0.8705376918614546,0.059839615648284994
ZNF608,GSM5214477,337,MTL,2,0.9775599444444444,0.980517,0.0029570555555555877,0.9754235549711779,0.9786148222561336,0.003191267284955668,0.916,0.9301666666666668,0.014166666666666772,0.8878185208203854,0.921594250245018,0.03377572942463258,0.9523333333333334,0.9403333333333334,-0.01200000000000001,0.9189449983917658,0.9308694934829236,0.011924495091157783,0.8342054028729218,0.8605112385191859,0.026305835646264097
ZNF609,GSM5213896,337,MTL,2,0.9485750000000001,0.9532097222222222,0.004634722222222165,0.9463127623752683,0.9508566274885314,0.004543865113263101,0.881,0.8826666666666667,0.0016666666666667052,0.8815086782376502,0.8881000676132522,0.006591389375601997,0.8803333333333333,0.8756666666666667,-0.004666666666666597,0.880920613742495,0.8818395434709634,0.0009189297284684095,0.7620006773342365,0.7654083470271931,0.003407669692956583
ZNF610,GSM2423864,10311,MTL,9,0.9284686666666666,0.9388458888888888,0.010377222222222149,0.9354321577759179,0.9418309345422478,0.006398776766329828,0.8481666666666666,0.8638333333333333,0.015666666666666718,0.9237322515212981,0.8916397560100466,-0.032092495511251484,0.759,0.8283333333333334,0.06933333333333336,0.8333028362305581,0.8588214964575773,0.025518660227019208,0.7076773065856286,0.7295077139709958,0.021830407385367234
ZNF611,GSM2466611,10309,MTL,12,0.9809979423868314,0.9856382716049382,0.0046403292181068645,0.9532069617111463,0.9638925262302346,0.010685564519088309,0.953018372703412,0.9590551181102362,0.0060367454068241955,0.9388038942976356,0.8968446601941747,-0.04195923410346081,0.8333333333333334,0.9123456790123456,0.07901234567901227,0.8829300196206671,0.90452876376989,0.021598744149222915,0.8560444123058483,0.8785226429856022,0.022478230679753963
ZNF613,GSM2466612,10313,MTL,7,0.8917012523663899,0.9030508227755932,0.011349570409203369,0.7106766664299126,0.7400126622071538,0.02933599577724122,0.8897464167585446,0.9051819184123484,0.015435501653803807,0.7,0.7457627118644068,0.045762711864406835,0.5347222222222222,0.6111111111111112,0.07638888888888895,0.6062992125984252,0.6717557251908397,0.06545651259241447,0.5501950755265611,0.6211586882666686,0.07096361274010754
ZNF614,GSM2466613,10313,MTL,7,0.8928381335383525,0.9010290377905258,0.008190904252173281,0.7910103119478257,0.8037608165856163,0.012750504637790594,0.9378531073446328,0.9416195856873822,0.0037664783427494575,0.9555555555555556,0.9777777777777776,0.022222222222222032,0.581081081081081,0.5945945945945946,0.013513513513513598,0.7226890756302521,0.7394957983193278,0.01680672268907568,0.7171385509565132,0.736663781462482,0.01952523050596877
ZNF615,GSM5214514,10313,MTL,7,0.9607410555555556,0.9705467777777776,0.00980572222222209,0.9573408639428501,0.9690712904099936,0.011730426467143507,0.8935,0.906,0.012500000000000067,0.9164021164021164,0.9371859296482412,0.02078381324612477,0.866,0.8703333333333333,0.0043333333333333,0.8904884318766066,0.9025233321811268,0.012034900304520146,0.788193044903979,0.8140738262211493,0.02588078131717031
ZNF616,GSM5215705,10311,MTL,9,0.9804956666666669,0.9839455555555556,0.0034498888888887524,0.9801264690440031,0.9827324480408336,0.0026059789968304603,0.93,0.9345,0.0044999999999999485,0.924621461487821,0.9230769230769232,-0.0015445384108977445,0.9363333333333334,0.948,0.011666666666666603,0.9304405432262338,0.9353724716329552,0.004931928406721409,0.8600689994141516,0.869316923788612,0.009247924374460426
ZNF619,GSM5215625,10324,MTL,4,0.9674354444444444,0.9665676666666666,-0.0008677777777778006,0.9587298674578548,0.9598312247388604,0.0011013572810055772,0.9075,0.9058333333333334,-0.0016666666666665941,0.8874801901743264,0.8858954041204438,-0.0015847860538826808,0.9333333333333333,0.9316666666666666,-0.0016666666666667052,0.9098294069861901,0.908204711616572,-0.0016246953696180677,0.8160899813306617,0.812752189995976,-0.0033377913346857024
ZNF620,GSM2466617,10324,MTL,4,0.8354771784232365,0.8903526970954356,0.054875518672199086,0.7453142206741827,0.8179442027501421,0.07262998207595939,0.9252669039145908,0.9395017793594306,0.014234875444839812,0.8518518518518519,1.0,0.14814814814814814,0.575,0.575,0.0,0.6865671641791045,0.7301587301587301,0.04359156597962566,0.6620444093050408,0.7328795283679134,0.07083511906287254
ZNF624,GSM5214027,10304,MTL,20,0.8999820359281439,0.9081448214681748,0.008162785540030915,0.8309698416171089,0.8525512800502715,0.021581438433162625,0.8409948922940262,0.8527648234510327,0.011769931157006419,0.8276436303080766,0.8626943005181347,0.03505067021005803,0.6613439787092482,0.6646706586826348,0.003326679973386537,0.735207100591716,0.7508455467869222,0.015638446195206157,0.6316173593222572,0.6599414781437033,0.028324118821446143
ZNF626,GSM2466619,10316,MTL,7,0.8661895023858214,0.8785957736877982,0.012406271301976801,0.6309175158586037,0.67738785899809,0.04647034313948628,0.9303867403314917,0.9425414364640884,0.012154696132596676,0.7755102040816326,0.9523809523809524,0.1768707482993198,0.4222222222222222,0.4444444444444444,0.0222222222222222,0.5467625899280576,0.6060606060606061,0.05929801613254848,0.5405011808033795,0.6287571089322047,0.08825592812882521
ZNF627,GSM2466620,10310,MTL,10,0.9683291518557412,0.977292599443739,0.00896344758799783,0.9262372922262534,0.9403174841695566,0.014080191943303233,0.9767441860465116,0.977119279819955,0.0003750937734433579,0.9518072289156626,0.924812030075188,-0.026995198840474632,0.8257839721254355,0.8571428571428571,0.03135888501742157,0.8843283582089553,0.8896925858951176,0.005364227686162293,0.8741896971302655,0.8777368569319488,0.0035471598016832973
ZNF629,GSM5215117,104,MTL,16,0.9718698888888888,0.9769632222222224,0.005093333333333616,0.9730200277193368,0.9765349163088368,0.003514888589499998,0.9146666666666666,0.9228333333333332,0.008166666666666544,0.9316446911866759,0.9114498864742134,-0.02019480471246249,0.895,0.9366666666666666,0.04166666666666663,0.9129547772866372,0.9238862403419366,0.01093146305529935,0.8299756140966775,0.8459905080163775,0.016014893919700013
ZNF649,GSM2466622,10313,MTL,7,0.9875118079752225,0.9905168408826944,0.003005032907471894,0.9756523009272815,0.9809414077876358,0.005289106860354331,0.9735819735819736,0.9748769748769748,0.0012950012950011525,0.9577804583835947,0.9751243781094528,0.017343919725858137,0.9221835075493612,0.9105691056910568,-0.011614401858304424,0.9396449704142011,0.9417417417417416,0.002096771327540492,0.9230140720597368,0.9266335441355464,0.0036194720758095933
