TF_Name,Subgroup,GSM_ID,Family,Function,Cell_Line,Species,Cistrome_ID,External_ID_Type,PBC,FRiP,MappedRatio,PeaksFoldChangeAbove10,PeaksUnionDHSRatio,FastQC,GC_Content_Mean,GC_Content_Median,GC_Content_Std,GC_Content_Min,GC_Content_Max,Total_Sequences,Avg_Sequence_Length,mcc,roc_auc,pr_auc,precision,recall,accuracy,f1,gsm,fold
MAFK,Unknown/Other,GSM1159670,Unknown/Other,Gene Regulation,OCI-Ly7,homo_sapiens,41625,GEO,0.949,0.0471574999999882,0,2676,0.8838,30,50.68,49.5,8.78,20.5,82.5,14891,200,0.7059165550946263,0.9493559643448058,0.8660605879222808,0.7949275362318841,0.7367360644728005,0.9047417442845048,0.7647263855001742,GSM1159670,0
MAX,bHLH,GSM894103,bHLH,"Development, Proliferation",NCI-H2171,homo_sapiens,37173,GEO,0.938,0.4514044999998872,0,27842,0.9474,38,62.83,62.5,10.36,22,95.5,15000,200,0.8237995689613259,0.9711357933579337,0.9520504924487636,0.9034722222222222,0.8673333333333333,0.9197149643705465,0.8850340136054422,GSM894103,0
MBD1,Unknown/Other,GSM5369703,Unknown/Other,Gene Regulation,K562,homo_sapiens,149649,GEO,0.988,0.0203494257976315,0,386,0.1950732356857523,40,40.09,39,6.65,20,81.5,1494,200,0.6229718167695834,0.8856578970147789,0.6617640030815998,0.7045454545454546,0.6241610738255033,0.9275914634146342,0.6619217081850534,GSM5369703,0
MBD2,Unknown/Other,GSM1388125,Unknown/Other,Gene Regulation,MCF-7,homo_sapiens,48825,GEO,0.998,0.1949977499999512,0,10100,0.9732,38,67.34,68.5,9.79,22,91,15000,200,0.8848550926197986,0.9832751867555016,0.9839714075608328,0.9393737508327782,0.94,0.9425579181212314,0.939686771076308,GSM1388125,0
MBD3,Unknown/Other,GSM2104436,Unknown/Other,Gene Regulation,HeLa,homo_sapiens,71069,GEO,0.964,0.448060999999888,0,10195,0.9702,36,58.27,59,11.13,21.5,95.5,15000,200,0.7729917688668398,0.9543028605381546,0.898602850331401,0.8494475138121547,0.82,0.910079233462318,0.8344640434192673,GSM2104436,0
MEF2B,Unknown/Other,GSM3011725,Unknown/Other,Gene Regulation,tonsil,homo_sapiens,139649,GEO,0.989,0.1125788156767842,0,7610,0.9136,36,44.59,43,9.86,7,96.5,15000,200,0.6423953271682776,0.91160462877893,0.7666586642159358,0.698874917273329,0.704,0.9014146287970172,0.7014280969777482,GSM3011725,0
MEF2D,Unknown/Other,GSM5215167,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,153200,GEO,0.988,0.0704865871989406,0,1028,0.9266,36,57.48,58.5,10.55,19.5,95.5,15000,200,0.7167703559740187,0.9435060578524914,0.8708615456629685,0.8174603174603174,0.7553333333333333,0.8949508641138597,0.7851697851697852,GSM5215167,0
MIER3,Unknown/Other,GSM2534128,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,100871,GEO,0.988,0.0898837499999775,0,3119,0.9604,,54.7,54,10.69,21.5,83.5,15000,200,0.7386793340871922,0.9611521564259636,0.8806123086971306,0.8375558867362146,0.7493333333333333,0.9137505445041384,0.7909922589725545,GSM2534128,0
MITF,Unknown/Other,GSM1517751,Unknown/Other,Gene Regulation,501-mel,homo_sapiens,52548,GEO,0.988,0.1351802499999662,0,24342,0.6142,39,49.11,48,8.06,21.5,82,15000,200,0.9361449499394014,0.993958315448085,0.9836761874257298,0.9534098582039164,0.9413333333333334,0.9815054776769938,0.9473331096947332,GSM1517751,0
MIXL1,Unknown/Other,GSM3499104,Unknown/Other,Gene Regulation,MCF-7,homo_sapiens,134990,GEO,0.948,0.160854938422829,0,15354,0.9372,40,48.34,47,9.93,17,96.5,15000,200,0.733247484004757,0.9529091751192628,0.8571032488766084,0.8175775480059084,0.738,0.926411406232034,0.7757533286615277,GSM3499104,0
